slug	focus_keyword	measured_volume	gate_status	category	archetype	write_status	load_status	clashes_with	attempts	usd
chi-phi-trung-binh	chi phí trung bình	390	measured	thong-ke	term-la-gi	ok	refused-duplicate	trung-binh-nhan	1	0.00728
chuan-hoa-la-gi	chuẩn hóa là gì	390	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00774
cong-thuc-he-so-tuong-quan	công thức hệ số tương quan	390	measured	thong-ke	term-la-gi	ok	refused-duplicate	tuong-quan-pearson	1	0.00629
cong-thuc-tinh-so-trung-vi	công thức tính số trung vị	390	measured	thong-ke	term-la-gi	ok	refused-duplicate	tinh-trung-vi	1	0.00721
do-lech-chuan-trong-may-tinh	độ lệch chuẩn trong máy tính	390	measured	thong-ke	term-la-gi	ok	refused-duplicate	cach-tinh-do-lech-chuan	1	0.00700
exploratory-factor-analysis-la-gi	exploratory factor analysis là gì	390	measured	thong-ke	term-la-gi	repaired	scheduled		2	0.01456
gia-thiet	giả thiết	390	measured	thong-ke	term-la-gi	ok	refused-duplicate	gia-thiet-hay-gia-thuyet	1	0.00709
nhan-to	nhân tố	390	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00733
ordinary-least-squares-la-gi	ordinary least squares là gì	390	measured	thong-ke	term-la-gi	ok	refused-duplicate	partial-least-squares-la-gi	1	0.00749
phuong-trinh-hoi-quy	phương trình hồi quy	390	measured	thong-ke	term-la-gi	repaired	refused-duplicate	hoi-quy-logistic	2	0.01551
residual-la-gi	residual là gì	390	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00689
residuals-la-gi	residuals là gì	390	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00685
tong-quan-la-gi	tổng quan là gì	390	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00781
bieu-do-duong-la-gi	biểu đồ đường là gì	320	measured	thong-ke	term-la-gi	repaired	scheduled		2	0.01472
cach-lay-so-lieu-tu-tong-cuc-thong-ke	cách lấy số liệu tư tổng cục thống kê	320	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00743
chi-test	chi test	320	measured	thong-ke	term-la-gi	repaired	refused-duplicate	t-test	2	0.01556
collinearity	collinearity	320	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00748
cong-thuc-tinh-phuong-sai-mau	công thức tính phương sai mẫu	320	measured	thong-ke	term-la-gi	ok	refused-duplicate	cong-thuc-tinh-phuong-sai	1	0.00693
da-cong-tuyen-la-gi	đa cộng tuyến là gì	320	measured	thong-ke	term-la-gi	repaired	scheduled		2	0.01583
dinh-ly-gia-tri-trung-binh	định lý giá trị trung bình	320	measured	thong-ke	term-la-gi	ok	refused-duplicate	trung-binh-nhan	1	0.00741
discriminant	discriminant	320	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00670
du-lieu-so	dữ liệu số	320	measured	thong-ke	term-la-gi	ok	refused-duplicate	du-lieu-so-cap	1	0.00775
kmo	kmo	320	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00705
kurtosis	kurtosis	320	measured	thong-ke	term-la-gi	repaired	scheduled		2	0.01587
ky-hieu-phuong-sai-va-do-lech-chuan	ký hiệu phương sai và độ lệch chuẩn	320	measured	thong-ke	term-la-gi	ok	refused-duplicate	do-lech-chuan	1	0.00728
moderation-la-gi	moderation là gì	320	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00681
multicollinearity	multicollinearity	320	measured	thong-ke	term-la-gi	repaired	scheduled		2	0.01497
pearson-correlation	pearson correlation	320	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00706
skewed-la-gi	skewed là gì	320	measured	thong-ke	term-la-gi	repaired	scheduled		2	0.01513
skewness-la-gi	skewness là gì	320	measured	thong-ke	term-la-gi	repaired	scheduled		2	0.01510
tong-quan-nghien-cuu	tổng quan nghiên cứu	320	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00730
trung-binh-la-gi	trung bình là gì	320	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00738
trung-vi-la-q-may	trung vị là q mấy	320	measured	thong-ke	term-la-gi	repaired	refused-duplicate	trung-vi	2	0.01512
bang-anova	bảng anova	260	measured	thong-ke	term-la-gi	ok	refused-duplicate	anova	1	0.00699
correlate-la-gi	correlate là gì	260	measured	thong-ke	term-la-gi	repaired	scheduled		2	0.01679
correlated-la-gi	correlated là gì	260	measured	thong-ke	term-la-gi	repaired	scheduled		2	0.01494
descriptive-statistics-la-gi	descriptive statistics là gì	260	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00737
do-tin-cay	độ tin cậy	260	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00738
hiep-phuong-sai	hiệp phương sai	260	measured	thong-ke	term-la-gi	ok	refused-duplicate	phuong-sai	1	0.00728
khoang-tin-cay	khoảng tin cậy	260	measured	thong-ke	term-la-gi	ok	refused-duplicate	do-tin-cay	1	0.00722
linear-regression-la-gi	linear regression là gì	260	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00742
pearson-la-gi	pearson là gì	260	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00652
thu-thap-thong-tin	thu thập thông tin	260	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00740
cach-tinh-tan-so-tich-luy	cách tính tần số tích lũy	210	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00696
do-lech-chuan-ki-hieu-la-gi-trong-may-tinh	độ lệch chuẩn kí hiệu là gì trong máy tính	210	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00720
logistic-regression-la-gi	logistic regression là gì	210	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00730
mean-la-gi-trong-thong-ke	mean là gì trong thống kê	210	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00741
one-factor-anova	one factor anova	210	measured	thong-ke	term-la-gi	ok	refused-duplicate	anova	1	0.00765
phan-vi-la-gi	phân vị là gì	210	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00728
phuong-sai-mau	phương sai mẫu	210	measured	thong-ke	term-la-gi	ok	refused-duplicate	phuong-sai	1	0.00716
spss-cach-dung	spss cách dùng	210	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00749
muc-y-nghia-la-gi	mức ý nghĩa là gì	170	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00685
test-de-durbin-watson	test de durbin watson	170	measured	thong-ke	term-la-gi	ok	refused-duplicate	t-test	1	0.00694
phan-tich-gia-tri-ngoai-lai-la-gi	phân tích giá trị ngoại lai là gì	90	measured	thong-ke	term-la-gi	repaired	scheduled		2	0.01535
kiem-dinh-chi-binh-phuong-la-gi	kiểm định chi bình phương là gì	20	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00713
gia-tri-hoi-tu-la-gi	giá trị hội tụ là gì	10	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00728
bang-tan-so-trong-spss	bảng tần số trong spss	0	family-inferred	spss	spss-howto	ok	refused-duplicate	cach-nhan-xet-bang-tan-so	1	0.00706
ancova-la-gi	ancova là gì	0	family-inferred	thong-ke	term-la-gi	ok	draft		1	0.00746
bang-cau-hoi-la-gi	bảng câu hỏi là gì	0	family-inferred	khao-sat	survey	repaired	refused-duplicate	bang-hoi-la-gi	2	0.01516
bien-tiem-an-la-gi	biến tiềm ẩn là gì	0	family-inferred	smartpls	term-la-gi	ok	draft		1	0.00710
5-ap-luc-canh-tranh-porter-la-gi	5 áp lực cạnh tranh porter là gì	0	family-inferred	mo-hinh-nghien-cuu	model-theory	ok	draft		1	0.00794
bieu-do-boxplot-trong-spss	biểu đồ boxplot trong spss	0	family-inferred	spss	spss-howto	ok	draft		1	0.00720
anova-trong-spss	anova trong spss	0	family-inferred	thong-ke	term-la-gi	ok	draft		1	0.00669
cach-lam-khao-sat-online	cách làm khảo sát online	0	family-inferred	khao-sat	survey	ok	refused-duplicate	phieu-khao-sat-online	1	0.00763
blindfolding-la-gi	blindfolding là gì	0	family-inferred	smartpls	term-la-gi	ok	draft		1	0.00738
5-khoang-cach-chat-luong-dich-vu-la-gi	5 khoảng cách chất lượng dịch vụ là gì	0	family-inferred	mo-hinh-nghien-cuu	model-theory	ok	draft		1	0.00812
bootstrap-trung-gian-trong-spss	bootstrap trung gian trong spss	0	family-inferred	spss	spss-howto	ok	draft		1	0.00727
ave-trong-spss	ave trong spss	0	family-inferred	thong-ke	term-la-gi	ok	refused-duplicate	ave-trong-smartpls	1	0.00696
cau-hoi-sang-loc-la-gi	câu hỏi sàng lọc là gì	0	family-inferred	khao-sat	survey	ok	draft		1	0.00737
bootstrapping-la-gi	bootstrapping là gì	0	family-inferred	smartpls	term-la-gi	ok	draft		1	0.00724
acsi-la-gi	acsi là gì	0	family-inferred	mo-hinh-nghien-cuu	model-theory	ok	draft		1	0.00843
cronbach-alpha-trong-spss	cronbach alpha trong spss	0	family-inferred	spss	spss-howto	ok	draft		1	0.00722
bac-tu-do-la-gi	bậc tự do là gì	0	family-inferred	thong-ke	term-la-gi	ok	draft		1	0.00727
chon-mau-ngau-nhien	chọn mẫu ngẫu nhiên	0	family-inferred	khao-sat	survey	repaired	draft		2	0.01562
cb-sem-trong-spss	cb sem trong spss	0	family-inferred	smartpls	term-la-gi	ok	draft		1	0.00758
balanced-scorecard-la-gi	balanced scorecard là gì	0	family-inferred	mo-hinh-nghien-cuu	model-theory	ok	draft		1	0.00777
item-total-correlation-nho-hon-0-3-phai-lam-sao	item total correlation nhỏ hơn 0 3 phải làm sao	0	family-inferred	spss	troubleshoot	ok	draft		1	0.00723
boxplot-trong-spss	boxplot trong spss	0	family-inferred	thong-ke	term-la-gi	ok	draft		1	0.00739
co-mau-trong-spss	cỡ mẫu trong spss	0	family-inferred	khao-sat	term-la-gi	ok	refused-duplicate	tinh-co-mau	1	0.00674
cfi-la-gi	cfi là gì	0	family-inferred	smartpls	term-la-gi	repaired	draft		2	0.01466
bcg-la-gi	bcg là gì	0	family-inferred	mo-hinh-nghien-cuu	model-theory	ok	draft		1	0.00850
kiem-dinh-do-tin-cay-thang-do-trong-spss	kiểm định độ tin cậy thang đo trong spss	0	family-inferred	spss	spss-howto	repaired	draft		2	0.01631
composite-reliability-la-gi	composite reliability là gì	0	family-inferred	thong-ke	term-la-gi	ok	refused-duplicate	reliability-la-gi	1	0.00738
google-form	google form	0	family-inferred	khao-sat	survey	repaired	draft		2	0.01520
chi-so-phu-hop-mo-hinh-la-gi	chỉ số phù hợp mô hình là gì	0	family-inferred	smartpls	term-la-gi	ok	draft		1	0.00780
bien-doc-lap-la-gi	biến độc lập là gì	0	family-inferred	mo-hinh-nghien-cuu	term-la-gi	ok	draft		1	0.00691
loi-cronbach-alpha-am-spss	lỗi cronbach alpha âm spss	0	family-inferred	spss	troubleshoot	repaired	draft		2	0.01611
construct-validity-la-gi	construct validity là gì	0	family-inferred	thong-ke	term-la-gi	ok	refused-duplicate	construct-la-gi	1	0.00695
khao-sat-thu	khảo sát thử	0	family-inferred	khao-sat	survey	repaired	refused-duplicate	bieu-mau-khao-sat	2	0.01533
f-square-la-gi	f square là gì	0	family-inferred	smartpls	term-la-gi	ok	draft		1	0.00707
cac-ben-lien-quan-la-gi	các bên liên quan là gì	0	family-inferred	mo-hinh-nghien-cuu	model-theory	ok	draft		1	0.00736
phan-tich-cronbach-alpha-spss	phân tích cronbach alpha spss	0	family-inferred	spss	spss-howto	ok	draft		1	0.00754
corrected-item-total-correlation-la-gi	corrected item total correlation là gì	0	family-inferred	thong-ke	term-la-gi	ok	refused-duplicate	correlation-la-gi	1	0.00720
khung-mau-la-gi	khung mẫu là gì	0	family-inferred	khao-sat	term-la-gi	ok	draft		1	0.00711
gfi-la-gi	gfi là gì	0	family-inferred	smartpls	term-la-gi	ok	draft		1	0.00729
chap-nhan-cong-nghe-tam-la-gi	chấp nhận công nghệ tam là gì	0	family-inferred	mo-hinh-nghien-cuu	model-theory	ok	draft		1	0.00827
phan-tich-sobel-test-spss	phân tích sobel test spss	0	family-inferred	spss	spss-howto	ok	draft		1	0.00777
cross-loading-la-gi	cross loading là gì	0	family-inferred	thong-ke	term-la-gi	ok	draft		1	0.00677
ma-hoa-bang-hoi-la-gi	mã hóa bảng hỏi là gì	0	family-inferred	khao-sat	survey	ok	refused-duplicate	bang-hoi-la-gi	1	0.00748
mo-hinh-cau-truc-la-gi	mô hình cấu trúc là gì	0	family-inferred	smartpls	term-la-gi	ok	draft		1	0.00734
chat-luong-dich-vu-gronroos-la-gi	chất lượng dịch vụ gronroos là gì	0	family-inferred	mo-hinh-nghien-cuu	model-theory	ok	draft		1	0.00795
thang-do-khong-dat-do-tin-cay-phai-lam-sao	thang đo không đạt độ tin cậy phải làm sao	0	family-inferred	spss	troubleshoot	ok	draft		1	0.00720
df-trong-spss	df trong spss	0	family-inferred	thong-ke	term-la-gi	ok	draft		1	0.00712
mau-nghien-cuu-la-gi	mẫu nghiên cứu là gì	0	family-inferred	khao-sat	term-la-gi	ok	refused-duplicate	khach-the-nghien-cuu-la-gi	1	0.00734
modification-indices-la-gi	modification indices là gì	0	family-inferred	smartpls	term-la-gi	repaired	draft		2	0.01613
chuoi-gia-tri-porter-la-gi	chuỗi giá trị porter là gì	0	family-inferred	mo-hinh-nghien-cuu	model-theory	ok	draft		1	0.00774
thong-ke-nhan-khau-hoc-trong-spss	thống kê nhân khẩu học trong spss	0	family-inferred	spss	spss-howto	ok	draft		1	0.00745
do-lech-chuan-trong-spss	độ lệch chuẩn trong spss	0	family-inferred	thong-ke	term-la-gi	ok	refused-duplicate	cach-tinh-do-lech-chuan	1	0.00727
sai-so-chon-mau-la-gi	sai số chọn mẫu là gì	0	family-inferred	khao-sat	term-la-gi	ok	draft		1	0.00700
outer-weight-la-gi	outer weight là gì	0	family-inferred	smartpls	term-la-gi	ok	draft		1	0.00699
dai-dien-la-gi	đại diện là gì	0	family-inferred	mo-hinh-nghien-cuu	model-theory	ok	draft		1	0.00762
do-tin-cay-95-la-gi	độ tin cậy 95 là gì	0	family-inferred	thong-ke	term-la-gi	ok	draft		1	0.00781
so-quan-sat-tren-mot-bien-quan-sat-la-gi	số quan sát trên một biến quan sát là gì	0	family-inferred	khao-sat	term-la-gi	ok	draft		1	0.00704
path-coefficient-la-gi	path coefficient là gì	0	family-inferred	smartpls	term-la-gi	ok	refused-duplicate	coefficient-la-gi	1	0.00722
e-servqual-la-gi	e servqual là gì	0	family-inferred	mo-hinh-nghien-cuu	model-theory	repaired	draft		2	0.01727
do-tin-cay-tong-hop-la-gi	độ tin cậy tổng hợp là gì	0	family-inferred	thong-ke	term-la-gi	ok	draft		1	0.00733
thang-do-likert-5-muc-khao-sat	thang đo likert 5 mức khảo sát	0	family-inferred	khao-sat	survey	ok	refused-duplicate	thang-do-likert	1	0.00709
pls-predict-la-gi	pls predict là gì	0	family-inferred	smartpls	term-la-gi	repaired	draft		2	0.01576
ecsi-la-gi	ecsi là gì	0	family-inferred	mo-hinh-nghien-cuu	model-theory	repaired	draft		2	0.01624
effect-size-la-gi	effect size là gì	0	family-inferred	thong-ke	term-la-gi	ok	draft		1	0.00709
thiet-ke-bang-hoi-khao-sat	thiết kế bảng hỏi khảo sát	0	family-inferred	khao-sat	survey	ok	refused-duplicate	thiet-ke-bang-hoi	1	0.00749
q-square-la-gi	q square là gì	0	family-inferred	smartpls	term-la-gi	ok	draft		1	0.00707
gia-tri-tieu-dung-la-gi	giá trị tiêu dùng là gì	0	family-inferred	mo-hinh-nghien-cuu	model-theory	ok	draft		1	0.00832
fornell-larcker-la-gi	fornell larcker là gì	0	family-inferred	thong-ke	term-la-gi	ok	draft		1	0.00760
thu-thap-du-lieu-so-cap	thu thập dữ liệu sơ cấp	0	family-inferred	khao-sat	survey	ok	refused-duplicate	du-lieu-so-cap	1	0.00721
r-square-trong-spss	r square trong spss	0	family-inferred	smartpls	term-la-gi	ok	draft		1	0.00694
hanh-vi-du-dinh-la-gi	hành vi dự định là gì	0	family-inferred	mo-hinh-nghien-cuu	model-theory	ok	draft		1	0.00856
gia-thuyet-h0-la-gi	giả thuyết h0 là gì	0	family-inferred	thong-ke	term-la-gi	ok	refused-duplicate	gia-thuyet-la-gi	1	0.00746
tong-the-nghien-cuu-la-gi	tổng thể nghiên cứu là gì	0	family-inferred	khao-sat	term-la-gi	ok	refused-duplicate	khach-the-nghien-cuu-la-gi	1	0.00725
rmsea-la-gi	rmsea là gì	0	family-inferred	smartpls	term-la-gi	ok	draft		1	0.00712
is-success-delone-mclean-la-gi	is success delone mclean là gì	0	family-inferred	mo-hinh-nghien-cuu	model-theory	repaired	draft		2	0.01683
gia-tri-be-mat-la-gi	giá trị bề mặt là gì	0	family-inferred	thong-ke	term-la-gi	ok	draft		1	0.00681
ty-le-phan-hoi	tỷ lệ phản hồi	0	family-inferred	khao-sat	survey	ok	draft		1	0.00722
sem-trong-spss	sem trong spss	0	family-inferred	smartpls	term-la-gi	ok	draft		1	0.00749
kano-la-gi	kano là gì	0	family-inferred	mo-hinh-nghien-cuu	model-theory	ok	draft		1	0.00911
gia-tri-trung-binh-la-gi	giá trị trung bình là gì	0	family-inferred	thong-ke	term-la-gi	ok	refused-duplicate	trung-binh-la-gi	1	0.00691
srmr-la-gi	srmr là gì	0	family-inferred	smartpls	term-la-gi	ok	draft		1	0.00760
khuech-tan-doi-moi-la-gi	khuếch tán đổi mới là gì	0	family-inferred	mo-hinh-nghien-cuu	model-theory	ok	draft		1	0.00794
hieu-chinh-bonferroni-la-gi	hiệu chỉnh bonferroni là gì	0	family-inferred	thong-ke	term-la-gi	ok	draft		1	0.00769
thang-do-bac-hai-la-gi	thang đo bậc hai là gì	0	family-inferred	smartpls	term-la-gi	ok	draft		1	0.00726
ky-vong-xac-nhan-ecm-la-gi	kỳ vọng xác nhận ecm là gì	0	family-inferred	mo-hinh-nghien-cuu	model-theory	ok	draft		1	0.00794
histogram-la-gi	histogram là gì	0	family-inferred	thong-ke	term-la-gi	ok	draft		1	0.00712
tli-la-gi	tli là gì	0	family-inferred	smartpls	term-la-gi	ok	draft		1	0.00664
ly-thuyet-acsi	lý thuyết acsi	0	family-inferred	mo-hinh-nghien-cuu	model-theory	ok	refused-duplicate	co-so-ly-thuyet	1	0.00810
htmt-la-gi	htmt là gì	0	family-inferred	thong-ke	term-la-gi	ok	draft		1	0.00656
ly-thuyet-bcg	lý thuyết bcg	0	family-inferred	mo-hinh-nghien-cuu	model-theory	ok	refused-duplicate	co-so-ly-thuyet	1	0.00790
khoang-bien-thien-la-gi	khoảng biến thiên là gì	0	family-inferred	thong-ke	term-la-gi	ok	draft		1	0.00688
ly-thuyet-tam	lý thuyết tam	0	family-inferred	mo-hinh-nghien-cuu	model-theory	ok	refused-duplicate	mo-hinh-tam	1	0.00867
khoang-tin-cay-trong-spss	khoảng tin cậy trong spss	0	family-inferred	thong-ke	term-la-gi	ok	draft		1	0.00744
ly-thuyet-tpb	lý thuyết tpb	0	family-inferred	mo-hinh-nghien-cuu	model-theory	ok	refused-duplicate	mo-hinh-tpb	1	0.00776
kiem-dinh-hai-duoi-la-gi	kiểm định hai đuôi là gì	0	family-inferred	thong-ke	term-la-gi	ok	draft		1	0.00703
mo-hinh-acsi	mô hình acsi	0	family-inferred	mo-hinh-nghien-cuu	model-theory	repaired	draft		2	0.01795
kiem-dinh-tukey-la-gi	kiểm định tukey là gì	0	family-inferred	thong-ke	term-la-gi	ok	draft		1	0.00713
mo-hinh-bcg	mô hình bcg	0	family-inferred	mo-hinh-nghien-cuu	model-theory	ok	draft		1	0.00781
kolmogorov-smirnov-la-gi	kolmogorov smirnov là gì	0	family-inferred	thong-ke	term-la-gi	ok	draft		1	0.00748
mo-hinh-toe	mô hình toe	0	family-inferred	mo-hinh-nghien-cuu	model-theory	ok	draft		1	0.00854
kruskal-wallis-la-gi	kruskal wallis là gì	0	family-inferred	thong-ke	term-la-gi	ok	draft		1	0.00722
mo-hinh-tu-quyet	mô hình tự quyết	0	family-inferred	mo-hinh-nghien-cuu	model-theory	ok	draft		1	0.00752
kurtosis-trong-spss	kurtosis trong spss	0	family-inferred	thong-ke	term-la-gi	ok	draft		1	0.00738
nguon-luc-rbv-la-gi	nguồn lực rbv là gì	0	family-inferred	mo-hinh-nghien-cuu	model-theory	ok	draft		1	0.00821
mann-whitney-la-gi	mann whitney là gì	0	family-inferred	thong-ke	term-la-gi	ok	draft		1	0.00772
nhan-thuc-rui-ro-tpr-la-gi	nhận thức rủi ro tpr là gì	0	family-inferred	mo-hinh-nghien-cuu	model-theory	ok	draft		1	0.00803
manova-la-gi	manova là gì	0	family-inferred	thong-ke	term-la-gi	ok	draft		1	0.00673
niem-tin-suc-khoe-la-gi	niềm tin sức khỏe là gì	0	family-inferred	mo-hinh-nghien-cuu	model-theory	ok	draft		1	0.00794
missing-value-la-gi	missing value là gì	0	family-inferred	thong-ke	term-la-gi	ok	draft		1	0.00694
process-macro-la-gi	process macro là gì	0	family-inferred	mo-hinh-nghien-cuu	term-la-gi	ok	draft		1	0.00689
mode-trong-thong-ke-la-gi	mode trong thống kê là gì	0	family-inferred	thong-ke	term-la-gi	ok	refused-duplicate	mean-la-gi-trong-thong-ke	1	0.00690
servperf-la-gi	servperf là gì	0	family-inferred	mo-hinh-nghien-cuu	model-theory	ok	draft		1	0.00768
muc-y-nghia-trong-spss	mức ý nghĩa trong spss	0	family-inferred	thong-ke	term-la-gi	ok	refused-duplicate	muc-y-nghia-la-gi	1	0.00678
sobel-test-la-gi	sobel test là gì	0	family-inferred	mo-hinh-nghien-cuu	term-la-gi	ok	draft		1	0.00690
outlier-trong-spss	outlier trong spss	0	family-inferred	thong-ke	term-la-gi	ok	draft		1	0.00707
swot-la-gi	swot là gì	0	family-inferred	mo-hinh-nghien-cuu	model-theory	ok	draft		1	0.00777
p-value-trong-spss	p value trong spss	0	family-inferred	thong-ke	term-la-gi	ok	draft		1	0.00733
tac-dong-gian-tiep-la-gi	tác động gián tiếp là gì	0	family-inferred	mo-hinh-nghien-cuu	term-la-gi	ok	draft		1	0.00706
phan-phoi-chuan-la-gi	phân phối chuẩn là gì	0	family-inferred	thong-ke	term-la-gi	repaired	draft		2	0.01546
tam-la-gi	tam là gì	0	family-inferred	mo-hinh-nghien-cuu	model-theory	ok	draft		1	0.00783
phan-phoi-t-la-gi	phân phối t là gì	0	family-inferred	thong-ke	term-la-gi	ok	draft		1	0.00749
task-technology-fit-la-gi	task technology fit là gì	0	family-inferred	mo-hinh-nghien-cuu	model-theory	ok	draft		1	0.00802
phuong-sai-trich-ave-la-gi	phương sai trích ave là gì	0	family-inferred	thong-ke	term-la-gi	ok	refused-duplicate	ave-la-gi	1	0.00678
the-che-la-gi	thể chế là gì	0	family-inferred	mo-hinh-nghien-cuu	model-theory	repaired	draft		2	0.01669
phuong-sai-trong-spss	phương sai trong spss	0	family-inferred	thong-ke	term-la-gi	repaired	refused-duplicate	cong-thuc-tinh-phuong-sai	2	0.01574
toe-la-gi	toe là gì	0	family-inferred	mo-hinh-nghien-cuu	model-theory	ok	draft		1	0.00768
post-hoc-la-gi	post hoc là gì	0	family-inferred	thong-ke	term-la-gi	repaired	draft		2	0.01495
tong-tac-dong-la-gi	tổng tác động là gì	0	family-inferred	mo-hinh-nghien-cuu	term-la-gi	ok	draft		1	0.00744
power-cua-kiem-dinh-la-gi	power của kiểm định là gì	0	family-inferred	thong-ke	term-la-gi	ok	draft		1	0.00749
tpb-la-gi	tpb là gì	0	family-inferred	mo-hinh-nghien-cuu	model-theory	ok	draft		1	0.00854
rho-a-la-gi	rho a là gì	0	family-inferred	thong-ke	term-la-gi	ok	draft		1	0.00747
tra-la-gi	tra là gì	0	family-inferred	mo-hinh-nghien-cuu	model-theory	ok	draft		1	0.00778
sai-lam-loai-1-la-gi	sai lầm loại 1 là gì	0	family-inferred	thong-ke	term-la-gi	ok	draft		1	0.00740
trao-doi-xa-hoi-la-gi	trao đổi xã hội là gì	0	family-inferred	mo-hinh-nghien-cuu	model-theory	repaired	draft		2	0.01706
shapiro-wilk-la-gi	shapiro wilk là gì	0	family-inferred	thong-ke	term-la-gi	ok	draft		1	0.00710
trung-gian-mot-phan-la-gi	trung gian một phần là gì	0	family-inferred	mo-hinh-nghien-cuu	term-la-gi	ok	refused-duplicate	bien-trung-gian-la-gi	1	0.00733
skewness-trong-spss	skewness trong spss	0	family-inferred	thong-ke	term-la-gi	repaired	draft		2	0.01538
tu-quyet-la-gi	tự quyết là gì	0	family-inferred	mo-hinh-nghien-cuu	model-theory	ok	draft		1	0.00842
split-half-reliability-la-gi	split half reliability là gì	0	family-inferred	thong-ke	term-la-gi	ok	refused-duplicate	reliability-la-gi	1	0.00700
utaut-la-gi	utaut là gì	0	family-inferred	mo-hinh-nghien-cuu	model-theory	ok	draft		1	0.00792
t-test-trong-spss	t test trong spss	0	family-inferred	thong-ke	term-la-gi	ok	refused-duplicate	kiem-dinh-t-test	1	0.00685
utaut2-la-gi	utaut2 là gì	0	family-inferred	mo-hinh-nghien-cuu	model-theory	repaired	draft		2	0.01776
tan-so-la-gi	tần số là gì	0	family-inferred	thong-ke	term-la-gi	repaired	refused-duplicate	tan-so-tich-luy-la-gi	2	0.01436
vaf-la-gi	vaf là gì	0	family-inferred	mo-hinh-nghien-cuu	term-la-gi	ok	draft		1	0.00744
test-retest-reliability-la-gi	test retest reliability là gì	0	family-inferred	thong-ke	term-la-gi	repaired	refused-duplicate	reliability-la-gi	2	0.01493
trung-vi-trong-spss	trung vị trong spss	0	family-inferred	thong-ke	term-la-gi	ok	refused-duplicate	tinh-trung-vi	1	0.00717
tu-phan-vi-la-gi	tứ phân vị là gì	0	family-inferred	thong-ke	term-la-gi	repaired	refused-duplicate	phan-vi-la-gi	2	0.01597
wilcoxon-la-gi	wilcoxon là gì	0	family-inferred	thong-ke	term-la-gi	ok	draft		1	0.00719
z-score-la-gi	z score là gì	0	family-inferred	thong-ke	term-la-gi	ok	draft		1	0.00714
